IdCliente,CodGeografia,Nombre,Nombres2,Apellido,Nacimiento,EstadoCivil,Género,Ingresos,Hijos,Educación,Ocupación
14686,17,Casey,A,Raje,1963-12-14,M,F,60000,3,Bachiller,Profesional
19456,155,Jesse,,Perez,1927-07-27,M,M,20000,2,Máster,Militar
26298,627,Jasmine,R,Peterson,1972-01-11,M,F,50000,1,Bachiller,Obrero Calificado
19466,241,Morgan,F,Lopez,1964-01-21,M,F,10000,3,Universitario,Militar
28532,197,Tony,R,Xie,1968-12-06,M,M,30000,1,Bachiller,Funcionario
26710,361,Jan,J,Green,1955-11-25,M,F,60000,2,Máster,Profesional
19780,338,Brianna,J,White,1973-12-11,S,F,70000,0,EFP,Profesional
21047,173,Sheena,,Andersen,1968-01-27,S,F,20000,1,EFP,Militar
25911,51,Alexandra,,Sanders,1978-04-02,S,F,40000,0,Máster,Obrero Calificado
22471,205,Joel,,Martinez,1967-09-05,S,M,30000,1,Bachiller,Funcionario
24803,543,Anna,,Diaz,1968-09-23,M,F,40000,4,Máster,Obrero Calificado
20434,329,Nathan,A,Sharma,1975-10-13,S,M,60000,0,EFP,Obrero Calificado
21862,206,Michele,C,Prasad,1948-09-04,M,F,90000,4,Máster,Directivo
25429,312,Candace,L,Rana,1969-04-03,S,F,80000,2,ESO,Profesional
15285,307,Olivia,A,Rodriguez,1972-02-11,S,F,40000,0,ESO,Obrero Calificado
19283,117,Adrian,,Sanders,1958-07-11,M,M,30000,1,ESO,Funcionario
22831,214,Victor,,Ruiz,1948-12-06,S,M,70000,5,Universitario,Obrero Calificado
28558,161,Dawn,T,Stone,1972-01-03,S,F,20000,0,Universitario,Militar
13156,21,Bradley,,Lal,1940-07-06,M,M,30000,2,EFP,Funcionario
25120,4,Heidi,L,Rodriguez,1969-12-12,S,F,110000,1,ESO,Directivo
15535,302,Jordan,L,Scott,1963-11-01,M,M,70000,4,Bachiller,Profesional
21534,250,Warren,F,Rai,1952-04-26,S,M,130000,4,Máster,Profesional
13172,626,Isabella,D,Cook,1968-09-18,S,F,80000,0,Bachiller,Directivo
25462,133,Angel,M,Gray,1967-05-18,S,M,40000,0,Bachiller,Funcionario
18257,33,Krista,,Jimenez,1968-10-10,M,F,70000,5,Bachiller,Profesional
23248,635,Bailey,D,Peterson,1953-04-25,M,F,10000,2,Máster,Militar
12769,631,Thomas,H,Zhang,1955-03-21,M,M,40000,1,EFP,Funcionario
27417,312,Edwin,,She,1948-01-13,M,M,60000,2,Bachiller,Directivo
28997,307,Hector,,Carlson,1947-11-27,S,M,40000,2,Máster,Profesional
23410,5,Carrie,W,Alvarez,1969-05-22,M,F,100000,1,ESO,Directivo
19652,36,Douglas,W,Rodriguez,1942-11-16,S,M,40000,2,Bachiller,Directivo
17610,359,Anna,,White,1965-09-01,S,F,80000,3,Bachiller,Obrero Calificado
23990,215,Claudia,M,Huang,1943-10-04,S,F,10000,3,EFP,Militar
25687,269,Jade,C,Cook,1961-09-13,S,F,10000,1,Bachiller,Militar
21610,322,Caleb,,Edwards,1970-02-20,M,M,70000,4,ESO,Profesional
26242,63,Isabella,,Lewis,1975-05-22,M,F,40000,4,EFP,Funcionario
19897,361,Gabriella,O,Nelson,1953-04-07,S,F,70000,4,EFP,Profesional
16086,298,Charles,W,Watson,1970-05-11,M,M,70000,4,ESO,Profesional
22365,361,Sebastian,C,Richardson,1958-03-02,M,M,80000,5,ESO,Obrero Calificado
22680,151,Lee,D,Suarez,1964-04-12,M,M,40000,1,Bachiller,Obrero Calificado
18152,222,Bryant,E,Suri,1946-03-03,S,M,90000,5,EFP,Profesional
23260,536,Edwin,,Goel,1955-02-08,M,M,30000,2,Máster,Funcionario
28528,130,Tasha,A,Chande,1968-06-19,M,F,20000,1,EFP,Militar
25027,9,Meredith,,Mehta,1953-01-15,M,F,40000,2,EFP,Obrero Calificado
20784,301,Eduardo,,Walker,1959-02-21,M,M,60000,4,ESO,Obrero Calificado
16627,29,Claudia,R,Chen,1971-05-27,M,F,80000,0,Bachiller,Profesional
25330,372,Madison,T,Gonzales,1929-09-21,M,F,40000,1,ESO,Obrero Calificado
14331,545,Timothy,,Murphy,1980-02-24,S,M,30000,0,Máster,Obrero Calificado
12088,548,Lauren,E,Thompson,1947-07-22,S,F,70000,4,Bachiller,Directivo
26287,543,Elijah,,Baker,1972-07-01,S,M,50000,0,ESO,Obrero Calificado
18433,59,Seth,M,Ross,1938-07-27,M,M,70000,5,ESO,Directivo
19786,34,Robin,,Carlson,1956-07-28,M,F,80000,2,Máster,Obrero Calificado
17229,27,Maria,,Watson,1976-04-19,S,F,70000,0,Bachiller,Profesional
12400,144,Andy,F,Martin,1971-11-12,S,M,40000,2,EFP,Funcionario
18282,23,Candace,,Kapoor,1966-12-07,S,F,100000,0,Bachiller,Profesional
12926,334,Sara,M,Murphy,1966-07-18,M,F,70000,4,ESO,Profesional
11963,2,Antonio,G,Patterson,1955-06-13,M,M,80000,2,Máster,Obrero Calificado
11165,348,Jocelyn,,Alexander,1973-07-18,M,F,60000,0,EFP,Obrero Calificado
22492,161,Jorge,,She,1964-07-24,S,M,20000,3,Máster,Militar
24891,20,Bianca,,Chen,1976-07-15,S,F,70000,0,Bachiller,Profesional
26892,241,Cody,F,Rogers,1975-09-19,M,M,40000,1,Bachiller,Obrero Calificado
16831,239,Theodore,T,Vazquez,1955-05-12,M,M,130000,3,EFP,Profesional
12906,612,Philip,,Ramos,1971-08-19,M,M,60000,1,ESO,Profesional
13569,127,Marcus,,Hall,1968-08-13,S,M,10000,2,Máster,Militar
16722,633,Sean,L,Gray,1980-06-27,S,M,30000,0,Máster,Obrero Calificado
25743,211,Alvin,K,Liu,1970-10-12,M,M,30000,0,Bachiller,Funcionario
24824,59,Alexandria,M,Wood,1965-09-08,S,F,40000,0,Bachiller,Profesional
22750,315,Jesse,D,Gonzalez,1946-06-04,M,M,70000,5,Bachiller,Directivo
21398,372,Ethan,,Diaz,1975-03-25,M,M,60000,0,EFP,Obrero Calificado
19301,235,Jamie,J,Liu,1952-03-01,M,F,20000,2,EFP,Militar
23284,53,Wyatt,M,Coleman,1958-10-22,S,M,80000,5,ESO,Obrero Calificado
20207,331,Angel,T,Bailey,1958-04-25,M,M,60000,1,Bachiller,Profesional
12068,345,Maria,L,Jenkins,1944-05-22,S,F,70000,4,Bachiller,Directivo
27361,9,Valerie,L,Yang,1971-07-11,S,F,80000,0,Bachiller,Profesional
11363,35,Julian,,Ross,1977-10-20,S,M,10000,0,Máster,Militar
16256,243,Richard,S,Collins,1967-07-17,M,M,20000,1,EFP,Militar
29314,24,Meredith,,Malhotra,1961-11-06,M,F,60000,1,EFP,Obrero Calificado
27026,54,Jonathan,T,Perry,1955-07-11,S,M,30000,1,Máster,Funcionario
21370,36,Emmanuel,V,Martinez,1949-02-04,M,M,20000,2,Universitario,Funcionario
13844,151,Phillip,H,Mehta,1975-08-10,S,M,30000,0,EFP,Funcionario
26689,299,Arthur,,Gill,1964-05-19,S,M,110000,3,Bachiller,Directivo
16172,21,Janelle,,Perez,1966-10-11,S,F,80000,5,Bachiller,Profesional
23453,299,Maurice,,Deng,1957-03-03,M,M,70000,3,EFP,Profesional
19699,641,Stephanie,,James,1961-05-12,M,F,90000,4,Máster,Profesional
25335,49,Cesar,L,Rodriguez,1954-04-15,S,M,20000,2,Universitario,Militar
11424,164,Pamela,S,Garcia,1953-12-07,M,F,80000,4,EFP,Profesional
28238,322,Dalton,,Flores,1965-07-07,S,M,120000,3,Bachiller,Directivo
24978,611,Kaylee,,Stewart,1949-09-15,M,F,60000,2,EFP,Profesional
14215,28,Stacey,,Yang,1975-06-05,S,F,90000,0,Bachiller,Profesional
28248,53,Eric,,Scott,1963-05-16,S,M,80000,4,EFP,Profesional
25900,631,Haley,,Sanders,1952-04-14,M,F,70000,2,Universitario,Obrero Calificado
16372,336,Vanessa,,Foster,1957-08-05,M,F,40000,1,EFP,Funcionario
17705,272,Kelvin,H,Guo,1962-12-16,M,M,20000,1,ESO,Funcionario
23050,548,Jack,P,Hall,1936-08-12,M,M,50000,2,ESO,Directivo
22617,117,Andres,,Nath,1969-08-20,M,M,40000,0,ESO,Funcionario
20865,133,Luis,,Ross,1922-09-20,M,M,20000,2,EFP,Militar
17683,336,Jenna,,Evans,1958-01-17,S,F,80000,4,ESO,Obrero Calificado
12808,277,Marc,,Schmidt,1968-05-11,M,M,40000,0,Bachiller,Funcionario
16161,31,Jodi,,Deng,1968-08-24,M,F,60000,2,Bachiller,Profesional
28276,609,Christy,J,Deng,1935-11-25,M,F,40000,3,EFP,Profesional
27343,26,Dale,B,Nath,1975-04-10,S,M,70000,0,Bachiller,Profesional
13757,618,Jordyn,N,Griffin,1959-07-06,S,F,60000,4,ESO,Obrero Calificado
20295,642,Christopher,C,Brown,1973-11-03,M,M,60000,0,EFP,Obrero Calificado
13043,33,Brenda,,Madan,1952-04-25,M,F,30000,3,Máster,Obrero Calificado
17619,53,Chloe,,Smith,1923-06-10,M,F,60000,5,Universitario,Obrero Calificado
14007,2,Rebekah,M,Garcia,1949-08-26,M,F,10000,2,Universitario,Funcionario
19763,29,Roger,F,Lu,1950-10-09,M,M,30000,3,EFP,Funcionario
11976,12,Audrey,,Ramos,1959-05-26,S,F,120000,1,Bachiller,Directivo
18274,10,Carla,,Sanchez,1967-11-23,M,F,90000,4,Bachiller,Profesional
26662,40,Lori,C,Alvarez,1968-09-13,S,F,60000,2,Bachiller,Profesional
21895,23,Kaylee,L,Gonzalez,1970-10-09,S,F,90000,0,Bachiller,Profesional
28040,616,Jack,L,Mitchell,1949-02-22,M,M,60000,2,EFP,Profesional
12687,2,Marshall,,Li,1972-04-20,S,M,90000,0,Bachiller,Profesional
21489,49,Neil,L,Gutierrez,1950-08-20,M,M,40000,2,Universitario,Obrero Calificado
21588,301,Theodore,W,Martin,1972-02-03,M,M,60000,1,ESO,Obrero Calificado
17050,38,Cristina,C,Xie,1970-11-24,M,F,80000,4,ESO,Directivo
16059,119,Jésus,,Carlson,1938-10-11,M,M,20000,1,Bachiller,Funcionario
14466,546,Logan,,Adams,1961-02-21,M,M,90000,4,Máster,Profesional
17115,237,Karen,E,Xu,1971-02-12,M,F,40000,2,EFP,Funcionario
24456,13,Danny,,Ruiz,1964-02-21,S,M,60000,4,Bachiller,Profesional
23860,632,Eric,S,Long,1968-03-07,M,M,70000,2,Bachiller,Obrero Calificado
18611,548,Taylor,F,Foster,1963-08-28,M,F,70000,4,Bachiller,Profesional
25451,167,Geoffrey,L,Subram,1967-08-28,S,M,20000,1,EFP,Militar
24817,66,Victoria,C,Richardson,1969-10-11,M,F,60000,2,ESO,Profesional
11043,325,Nathan,M,Simmons,1976-02-24,M,M,60000,0,EFP,Obrero Calificado
20101,546,Devin,,Hayes,1956-01-26,M,M,30000,2,Máster,Obrero Calificado
14673,22,Willie,,Rai,1969-06-23,M,M,110000,1,ESO,Directivo
25954,361,Noah,E,Carter,1975-08-10,M,M,60000,0,EFP,Obrero Calificado
19822,51,Carlos,,Adams,1965-01-27,M,M,90000,4,EFP,Profesional
12099,648,Sydney,,Hall,1949-11-18,S,F,60000,2,EFP,Profesional
12462,178,Levi,J,Suri,1968-06-11,M,M,40000,0,ESO,Funcionario
25950,627,Kyle,,Kumar,1975-06-26,S,M,40000,0,Máster,Obrero Calificado
24092,162,Jillian,,Gonzalez,1966-11-26,M,F,40000,0,Bachiller,Profesional
27077,302,Robert,K,Henderson,1972-09-03,S,M,60000,1,ESO,Obrero Calificado
26709,331,Mary,O,King,1955-07-12,S,F,80000,2,Universitario,Obrero Calificado
13536,208,Arianna,,Ward,1959-05-17,S,F,10000,1,Máster,Militar
20512,339,Sydney,,Parker,1947-03-09,M,F,70000,2,EFP,Profesional
13608,151,Karla,H,Kumar,1949-04-21,M,F,120000,4,Máster,Directivo
11282,612,Christian,A,Thomas,1962-01-16,M,M,90000,5,EFP,Profesional
28521,129,Bradley,,Tang,1969-09-15,S,M,40000,0,ESO,Funcionario
25560,33,Daisy,L,Vazquez,1978-05-25,M,F,10000,0,EFP,Militar
19091,28,Warren,P,Yuan,1973-02-09,S,M,80000,0,Bachiller,Profesional
20890,277,Clayton,,Anand,1966-10-16,S,M,20000,1,Máster,Militar
26368,220,Bharat,,Mirchandani,1965-09-04,S,M,10000,4,Universitario,Militar
21438,368,Edward,,Price,1962-04-16,S,M,70000,1,Bachiller,Profesional
28302,53,Caroline,C,Hughes,1949-02-20,M,F,30000,4,Máster,Profesional
13097,310,Dalton,E,Hughes,1957-05-14,M,M,60000,2,Máster,Profesional
12427,359,Kimberly,C,Stewart,1954-02-08,M,F,40000,1,EFP,Funcionario
24262,331,Daniel,,Thomas,1977-03-16,M,M,60000,0,EFP,Obrero Calificado
15827,614,Danielle,,Ward,1979-05-07,S,F,40000,0,Máster,Obrero Calificado
22291,299,Carlos,J,Morris,1963-02-26,M,M,70000,4,Bachiller,Profesional
25273,17,Karl,M,Rai,1943-06-05,M,M,60000,2,ESO,Directivo
23865,43,Lori,L,Sanz,1970-04-20,S,F,60000,1,ESO,Profesional
19953,37,Darrell,,Lal,1974-02-23,S,M,70000,0,Bachiller,Profesional
24425,611,Chloe,L,Ward,1960-02-14,S,F,90000,4,Máster,Profesional
18232,347,Sophia,R,Edwards,1958-08-15,M,F,80000,1,EFP,Obrero Calificado
26337,611,Jennifer,,Gonzalez,1966-05-28,M,F,60000,0,ESO,Profesional
15779,611,Jackson,,Hayes,1957-02-18,M,M,70000,2,EFP,Profesional
20080,612,Maria,D,Stewart,1953-06-24,M,F,20000,2,Máster,Militar
24660,383,Anna,,Perry,1947-11-27,S,F,70000,2,Bachiller,Directivo
20117,547,Brandon,J,Jenkins,1972-05-10,M,M,50000,0,ESO,Obrero Calificado
14164,130,Kari,A,Smith,1969-11-12,S,F,50000,0,ESO,Obrero Calificado
28804,301,Wyatt,C,Allen,1972-12-13,S,M,60000,0,ESO,Obrero Calificado
17048,3,Natasha,,Gutierrez,1969-09-18,S,F,90000,1,ESO,Directivo
27975,4,Jay,,Gill,1972-05-11,S,M,90000,0,Bachiller,Profesional
22163,334,Morgan,D,Scott,1977-07-01,S,F,60000,0,EFP,Obrero Calificado
13165,334,Wyatt,V,Walker,1976-09-21,S,M,40000,0,EFP,Obrero Calificado
28513,131,Molly,E,Fernandez,1970-07-24,M,F,20000,0,EFP,Militar
24147,176,Kathleen,,Hernandez,1935-10-18,M,F,20000,1,ESO,Funcionario
11316,51,Luke,,Allen,1953-11-17,M,M,60000,3,ESO,Directivo
13351,618,Mariah,,Cox,1944-04-27,S,F,70000,4,Bachiller,Directivo
15056,244,Jaime,L,Suarez,1959-04-02,M,F,20000,2,EFP,Militar
28001,302,Sydney,C,Rodriguez,1939-05-27,M,F,60000,3,ESO,Directivo
23251,637,Evan,C,Scott,1953-08-06,M,M,20000,2,Máster,Militar
15089,268,Martin,,Prasad,1969-11-02,M,M,50000,0,ESO,Obrero Calificado
22047,300,David,B,Gonzales,1968-12-16,M,M,90000,4,Bachiller,Directivo
21461,60,Elizabeth,A,Simmons,1945-06-02,M,F,70000,5,Bachiller,Directivo
17195,215,Franklin,L,Sharma,1944-05-22,M,M,70000,5,Máster,Profesional
12039,32,Ricardo,C,Nath,1943-02-13,M,M,70000,2,ESO,Directivo
24125,204,Tiffany,,Xu,1976-05-20,S,F,20000,0,Máster,Militar
13458,609,Joan,,James,1955-09-03,M,F,60000,2,Máster,Profesional
25303,147,Jeremiah,C,Hernandez,1973-05-28,S,M,30000,0,Máster,Militar
12592,232,Amy,J,Li,1961-07-20,M,F,30000,4,ESO,Funcionario
28257,648,Zachary,E,Martin,1962-04-18,S,M,100000,1,EFP,Profesional
22418,234,Jacob,A,Smith,1961-08-26,M,M,30000,4,ESO,Funcionario
26236,612,Isabella,A,Evans,1975-05-05,M,F,40000,3,EFP,Funcionario
16984,311,Rodney,I,Moreno,1965-01-04,S,M,40000,0,Bachiller,Profesional
18172,232,Willie,,Black,1951-06-22,M,M,130000,4,Máster,Profesional
23200,618,Grace,C,Rodriguez,1965-08-11,M,F,50000,3,Bachiller,Obrero Calificado
24855,133,Kaylee,,Wright,1954-04-25,S,F,130000,3,EFP,Profesional
17611,543,Luis,G,Butler,1965-02-10,S,M,80000,3,Bachiller,Obrero Calificado
20679,43,Dakota,D,Jenkins,1966-05-14,M,M,60000,0,ESO,Profesional
25894,301,Steve,,Zeng,1951-05-03,M,M,60000,2,EFP,Profesional
23156,548,Samantha,J,Barnes,1969-06-07,M,F,60000,1,ESO,Profesional
21960,33,Dawn,C,Liu,1967-02-18,M,F,70000,5,Bachiller,Profesional
23040,352,Seth,A,Morgan,1955-03-15,M,M,60000,2,Máster,Profesional
23914,154,Tonya,L,Sharma,1964-09-24,M,F,20000,2,Máster,Militar
13421,368,Alyssa,C,Patterson,1965-06-23,M,F,130000,2,ESO,Directivo
24329,547,Abigail,D,Cooper,1963-02-09,S,F,70000,4,Bachiller,Profesional
25109,26,Devin,J,Rivera,1970-05-06,M,M,80000,4,ESO,Directivo
15251,59,Noah,A,Hall,1980-02-22,S,M,30000,0,Máster,Obrero Calificado
28195,43,Kellie,R,Martin,1959-07-03,S,F,80000,3,ESO,Profesional
16792,337,Maria,,Torres,1947-06-10,M,F,60000,5,Bachiller,Directivo
17013,548,Gabriella,L,Mitchell,1962-03-09,S,F,70000,1,Bachiller,Profesional
17014,368,Michael,,Harris,1962-10-27,S,M,70000,1,Bachiller,Profesional
19800,339,Lauren,E,White,1973-03-13,S,F,80000,0,Bachiller,Directivo
29062,38,Dennis,,Liu,1945-04-21,M,M,20000,4,Máster,Obrero Calificado
27815,265,Jamie,,Chow,1979-12-26,M,F,30000,3,EFP,Funcionario
20130,50,Jordan,H,Nelson,1971-08-21,M,M,60000,1,ESO,Obrero Calificado
12520,208,Seth,R,Jackson,1976-11-25,S,M,20000,0,Máster,Militar
24238,299,Sean,T,Richardson,1978-09-07,M,M,60000,0,EFP,Obrero Calificado
24597,18,Lee,R,Dominguez,1974-10-18,S,M,90000,0,Bachiller,Profesional
18434,302,Clayton,,Stone,1938-02-01,M,M,80000,4,ESO,Directivo
28814,612,Anna,M,Butler,1971-03-22,M,F,50000,1,ESO,Obrero Calificado
11621,611,Leah,R,She,1973-02-19,S,F,50000,0,ESO,Obrero Calificado
20315,644,Devin,,Ramirez,1978-08-25,S,M,40000,0,EFP,Obrero Calificado
19001,70,Fernando,,Brown,1948-02-24,M,M,40000,2,Máster,Profesional
24678,312,Nathan,,Long,1950-08-26,S,M,60000,2,EFP,Profesional
28368,189,Fernando,,Butler,1967-04-20,S,M,20000,1,EFP,Militar
12539,225,Marc,J,Dominguez,1935-05-26,S,M,20000,1,ESO,Funcionario
26174,548,Isaac,,Adams,1980-06-26,S,M,30000,0,Máster,Obrero Calificado
23005,547,Luke,,Sharma,1979-11-21,M,M,40000,0,Máster,Obrero Calificado
15755,39,Connor,,Flores,1956-01-26,M,M,70000,2,Máster,Obrero Calificado
21049,265,James,L,Sharma,1968-06-08,S,M,20000,1,EFP,Militar
12799,171,George,H,Chandra,1968-06-15,M,M,30000,1,Bachiller,Funcionario
25534,184,Casey,,Sanz,1935-09-18,M,M,20000,1,ESO,Funcionario
19471,264,Bryant,,Martinez,1963-05-03,S,M,20000,3,Máster,Militar
24018,147,Barbara,,Gao,1959-04-24,S,F,20000,2,EFP,Militar
11725,612,Jose,K,Li,1967-09-17,S,M,70000,0,EFP,Obrero Calificado
28294,337,Alexis,,Jenkins,1954-08-04,S,F,60000,2,Universitario,Obrero Calificado
28193,335,Taylor,,Davis,1959-04-19,S,F,70000,5,ESO,Profesional
14645,326,Isaac,P,Kelly,1967-02-21,S,M,60000,0,ESO,Profesional
24206,168,Marie,,Munoz,1969-02-23,M,F,40000,0,ESO,Funcionario
16642,648,Mason,L,Mitchell,1941-11-07,S,M,130000,2,Bachiller,Directivo
